# 
# -- Phylter v. 0.9 -- 
# Thu Feb  3 23:38:24 2022
# 
# 
# 
# PARAMETERS
# 
# bvalue=0
# distance=patristic
# k=4
# Norm=TRUE
# test.island=TRUE
# verbose=TRUE
# stop.criteria=1e-05
# 
# SUMMARY
# 
# Total number of outliers detected: 1916
# Number of complete gene outliers : 3
# Number of complete species outliers : 0
# Initial score of the compromise: 0.784132117504409
# Final score of the compromise: 0.819240577302143
# Gain: 3.51% 
# Loss (data filtering): 0.3% 
# Outlier gene(s) detected: ENSG00000159251_ACTC1;ENSG00000178363_CALML3;ENSG00000204007_GLT6D1
# 
# OUTLIERS (contains complete outliers)
# 
# Genes	Species
ENSG00000114126_TFDP2	Helogale_parvula
ENSG00000114126_TFDP2	Prionailurus_bengalensis
ENSG00000114126_TFDP2	Arctocephalus_gazella
ENSG00000114126_TFDP2	Leptonychotes_weddellii
ENSG00000114279_FGF12	Otocyon_megalotis
ENSG00000114503_NCBP2	Ailuropoda_melanoleuca
ENSG00000114686_MRPL3	Taxidea_taxus
ENSG00000114686_MRPL3	Pteronura_brasiliensis
ENSG00000114686_MRPL3	Procyon_lotor
ENSG00000114686_MRPL3	Arctocephalus_gazella
ENSG00000114790_ARHGEF26	Canis_familiaris
ENSG00000114859_CLCN2	Procyon_lotor
ENSG00000115267_IFIH1	Manis_javanica
ENSG00000115594_IL1R1	Neovison_vison
ENSG00000115594_IL1R1	Leptonychotes_weddellii
ENSG00000115616_SLC9A2	Potos_flavus
ENSG00000115616_SLC9A2	Taxidea_taxus
ENSG00000115616_SLC9A2	Neovison_vison
ENSG00000115616_SLC9A2	Ursus_thibetanus
ENSG00000115875_SRSF7	Puma_concolor
ENSG00000116005_PCYOX1	Vulpes_vulpes
ENSG00000116120_FARSB	Felis_catus
ENSG00000116157_GPX7	Vulpes_vulpes
ENSG00000116329_OPRD1	Panthera_tigris
ENSG00000116329_OPRD1	Acinonyx_jubatus
ENSG00000116473_RAP1A	Manis_javanica
ENSG00000116473_RAP1A	Felis_catus
ENSG00000116473_RAP1A	Gulo_gulo
ENSG00000116473_RAP1A	Mustela_putorius
ENSG00000116473_RAP1A	Ailuropoda_melanoleuca
ENSG00000116473_RAP1A	Canis_familiaris
ENSG00000116574_RHOU	Paradoxurus_hermaphroditus
ENSG00000116663_FBXO6	Leptonychotes_weddellii
ENSG00000116981_NT5C1A	Otocyon_megalotis
ENSG00000117143_UAP1	Arctocephalus_gazella
ENSG00000117143_UAP1	Leptonychotes_weddellii
ENSG00000117155_SSX2IP	Paradoxurus_hermaphroditus
ENSG00000117394_SLC2A1	Spilogale_gracilis
ENSG00000117523_PRRC2C	Manis_javanica
ENSG00000118197_DDX59	Manis_javanica
ENSG00000118407_FILIP1	Manis_javanica
ENSG00000118515_SGK1	Arctocephalus_gazella
ENSG00000118689_FOXO3	Manis_javanica
ENSG00000118707_TGIF2	Neofelis_nebulosa
ENSG00000118707_TGIF2	Lutra_lutra
ENSG00000118707_TGIF2	Arctocephalus_gazella
ENSG00000118707_TGIF2	Mirounga_angustirostris
ENSG00000119280_C1orf198	Manis_javanica
ENSG00000119392_GLE1	Manis_javanica
ENSG00000119408_NEK6	Potos_flavus
ENSG00000119514_GALNT12	Manis_javanica
ENSG00000119541_VPS4B	Panthera_onca
ENSG00000119541_VPS4B	Neovison_vison
ENSG00000119541_VPS4B	Mirounga_angustirostris
ENSG00000119707_RBM25	Arctocephalus_gazella
ENSG00000119772_DNMT3A	Gulo_gulo
ENSG00000119888_EPCAM	Ursus_americanus
ENSG00000119888_EPCAM	Procyon_lotor
ENSG00000119888_EPCAM	Vulpes_vulpes
ENSG00000120053_GOT1	Gulo_gulo
ENSG00000120370_GORAB	Manis_javanica
ENSG00000120458_MSANTD2	Manis_javanica
ENSG00000120675_DNAJC15	Helogale_parvula
ENSG00000120675_DNAJC15	Mellivora_capensis
ENSG00000122254_HS3ST2	Gulo_gulo
ENSG00000122299_ZC3H7A	Prionailurus_bengalensis
ENSG00000122299_ZC3H7A	Neovison_vison
ENSG00000122299_ZC3H7A	Nasua_narica
ENSG00000122299_ZC3H7A	Arctocephalus_gazella
ENSG00000122386_ZNF205	Crocuta_Crocuta
ENSG00000122386_ZNF205	Paradoxurus_hermaphroditus
ENSG00000122386_ZNF205	Neovison_vison
ENSG00000122386_ZNF205	Pteronura_brasiliensis
ENSG00000123104_ITPR2	Cryptoprocta_ferox
ENSG00000123104_ITPR2	Neofelis_nebulosa
ENSG00000123104_ITPR2	Gulo_gulo
ENSG00000123104_ITPR2	Lutra_lutra
ENSG00000123104_ITPR2	Ursus_americanus
ENSG00000123104_ITPR2	Ailurus_fulgens
ENSG00000123146_ADGRE5	Pteronura_brasiliensis
ENSG00000123154_WDR83	Manis_javanica
ENSG00000123171_CCDC70	Manis_javanica
ENSG00000123307_NEUROD4	Arctocephalus_gazella
ENSG00000123364_HOXC13	Proteles_septentrionalis
ENSG00000123364_HOXC13	Acinonyx_jubatus
ENSG00000123364_HOXC13	Otocyon_megalotis
ENSG00000123415_SMUG1	Vulpes_vulpes
ENSG00000123562_MORF4L2	Arctocephalus_gazella
ENSG00000123576_ESX1	Helogale_parvula
ENSG00000123576_ESX1	Lycaon_pictus
ENSG00000123576_ESX1	Otocyon_megalotis
ENSG00000123600_METTL8	Mungos_mungo
ENSG00000123600_METTL8	Leptonychotes_weddellii
ENSG00000123612_ACVR1C	Canis_familiaris
ENSG00000123700_KCNJ2	Gulo_gulo
ENSG00000124145_SDC4	Manis_javanica
ENSG00000124391_IL17C	Manis_javanica
ENSG00000124449_IRGC	Panthera_tigris
ENSG00000124449_IRGC	Acinonyx_jubatus
ENSG00000124490_CRISP2	Crocuta_Crocuta
ENSG00000124490_CRISP2	Felis_catus
ENSG00000124557_BTN1A1	Crocuta_Crocuta
ENSG00000124721_DNAH8	Manis_javanica
ENSG00000124721_DNAH8	Pteronura_brasiliensis
ENSG00000124721_DNAH8	Ursus_maritimus
ENSG00000125207_PIWIL1	Pteronura_brasiliensis
ENSG00000125207_PIWIL1	Mirounga_angustirostris
ENSG00000125735_TNFSF14	Manis_javanica
ENSG00000125775_SDCBP2	Taxidea_taxus
ENSG00000125775_SDCBP2	Mirounga_angustirostris
ENSG00000125775_SDCBP2	Leptonychotes_weddellii
ENSG00000125779_PANK2	Procyon_lotor
ENSG00000125780_TGM3	Zalophus_californianus
ENSG00000125788_DEFB126	Gulo_gulo
ENSG00000125788_DEFB126	Ursus_thibetanus
ENSG00000125788_DEFB126	Procyon_lotor
ENSG00000125788_DEFB126	Phoca_vitulina
ENSG00000125810_CD93	Lycaon_pictus
ENSG00000126246_IGFLR1	Manis_javanica
ENSG00000126262_FFAR2	Mustela_putorius
ENSG00000126262_FFAR2	Arctocephalus_gazella
ENSG00000126858_RHOT1	Panthera_onca
ENSG00000127252_HRASLS	Neofelis_nebulosa
ENSG00000127252_HRASLS	Puma_concolor
ENSG00000128918_ALDH1A2	Gulo_gulo
ENSG00000129195_PIMREG	Puma_concolor
ENSG00000129250_KIF1C	Puma_concolor
ENSG00000130348_QRSL1	Manis_javanica
ENSG00000130377_ACSBG2	Arctocephalus_gazella
ENSG00000130508_PXDN	Paradoxurus_hermaphroditus
ENSG00000130508_PXDN	Ursus_thibetanus
ENSG00000130508_PXDN	Procyon_lotor
ENSG00000130508_PXDN	Neomonachus_schauinslandi
ENSG00000130649_CYP2E1	Taxidea_taxus
ENSG00000130816_DNMT1	Canis_familiaris
ENSG00000130822_PNCK	Panthera_tigris
ENSG00000130822_PNCK	Acinonyx_jubatus
ENSG00000131051_RBM39	Arctocephalus_gazella
ENSG00000131149_GSE1	Arctocephalus_gazella
ENSG00000131165_CHMP1A	Taxidea_taxus
ENSG00000131368_MRPS25	Gulo_gulo
ENSG00000131400_NAPSA	Pteronura_brasiliensis
ENSG00000131730_CKMT2	Crocuta_Crocuta
ENSG00000132254_ARFIP2	Arctocephalus_gazella
ENSG00000132329_RAMP1	Cryptoprocta_ferox
ENSG00000132329_RAMP1	Panthera_tigris
ENSG00000132329_RAMP1	Gulo_gulo
ENSG00000132329_RAMP1	Neomonachus_schauinslandi
ENSG00000132406_TMEM128	Manis_javanica
ENSG00000132478_UNK	Gulo_gulo
ENSG00000132478_UNK	Arctocephalus_gazella
ENSG00000132518_GUCY2D	Paradoxurus_hermaphroditus
ENSG00000132819_RBM38	Ursus_maritimus
ENSG00000132840_BHMT2	Ailuropoda_melanoleuca
ENSG00000132840_BHMT2	Neomonachus_schauinslandi
ENSG00000133020_MYH8	Procyon_lotor
ENSG00000133104_SPART	Manis_javanica
ENSG00000133112_TPT1	Lynx_pardinus
ENSG00000133135_RNF128	Cryptoprocta_ferox
ENSG00000133135_RNF128	Mellivora_capensis
ENSG00000133135_RNF128	Pteronura_brasiliensis
ENSG00000133135_RNF128	Ursus_americanus
ENSG00000133135_RNF128	Procyon_lotor
ENSG00000133135_RNF128	Phoca_vitulina
ENSG00000134202_GSTM3	Mellivora_capensis
ENSG00000134202_GSTM3	Procyon_lotor
ENSG00000134240_HMGCS2	Gulo_gulo
ENSG00000134240_HMGCS2	Spilogale_gracilis
ENSG00000134248_LAMTOR5	Paradoxurus_hermaphroditus
ENSG00000134438_RAX	Lycaon_pictus
ENSG00000134595_SOX3	Panthera_tigris
ENSG00000134684_YARS	Proteles_cristatus
ENSG00000134779_TPGS2	Prionailurus_bengalensis
ENSG00000134824_FADS2	Puma_concolor
ENSG00000134824_FADS2	Gulo_gulo
ENSG00000134909_ARHGAP32	Ailurus_fulgens
ENSG00000134909_ARHGAP32	Arctocephalus_gazella
ENSG00000135077_HAVCR2	Helogale_parvula
ENSG00000135547_HEY2	Lycaon_pictus
ENSG00000135870_RC3H1	Proteles_cristatus
ENSG00000136002_ARHGEF4	Cryptoprocta_ferox
ENSG00000136002_ARHGEF4	Arctocephalus_gazella
ENSG00000136002_ARHGEF4	Mirounga_angustirostris
ENSG00000136240_KDELR2	Lutra_lutra
ENSG00000136240_KDELR2	Procyon_lotor
ENSG00000136240_KDELR2	Leptonychotes_weddellii
ENSG00000136546_SCN7A	Taxidea_taxus
ENSG00000136848_DAB2IP	Arctocephalus_gazella
ENSG00000136870_ZNF189	Mungos_mungo
ENSG00000136870_ZNF189	Otocyon_megalotis
ENSG00000137133_HINT2	Ursus_arctos
ENSG00000137133_HINT2	Crocuta_Crocuta
ENSG00000137338_PGBD1	Neofelis_nebulosa
ENSG00000137338_PGBD1	Potos_flavus
ENSG00000137338_PGBD1	Lycaon_pictus
ENSG00000137338_PGBD1	Leptonychotes_weddellii
ENSG00000137440_FGFBP1	Manis_javanica
ENSG00000137500_CCDC90B	Taxidea_taxus
ENSG00000137500_CCDC90B	Nasua_narica
ENSG00000137502_RAB30	Manis_javanica
ENSG00000137522_RNF121	Puma_concolor
ENSG00000137522_RNF121	Nasua_narica
ENSG00000137522_RNF121	Arctocephalus_gazella
ENSG00000137707_BTG4	Gulo_gulo
ENSG00000137707_BTG4	Nasua_narica
ENSG00000137942_FNBP1L	Manis_javanica
ENSG00000138175_ARL3	Manis_javanica
ENSG00000138175_ARL3	Paradoxurus_hermaphroditus
ENSG00000138175_ARL3	Procyon_lotor
ENSG00000138175_ARL3	Otocyon_megalotis
ENSG00000138398_PPIG	Taxidea_taxus
ENSG00000138398_PPIG	Arctocephalus_gazella
ENSG00000138399_FASTKD1	Arctocephalus_gazella
ENSG00000138675_FGF5	Taxidea_taxus
ENSG00000138796_HADH	Felis_catus
ENSG00000138964_PARVG	Cryptoprocta_ferox
ENSG00000138964_PARVG	Helogale_parvula
ENSG00000138964_PARVG	Ursus_arctos
ENSG00000139083_ETV6	Taxidea_taxus
ENSG00000139168_ZCRB1	Felis_catus
ENSG00000139190_VAMP1	Puma_concolor
ENSG00000139211_AMIGO2	Manis_javanica
ENSG00000139218_SCAF11	Manis_javanica
ENSG00000139233_LLPH	Manis_javanica
ENSG00000139289_PHLDA1	Manis_javanica
ENSG00000139289_PHLDA1	Helogale_parvula
ENSG00000139289_PHLDA1	Lynx_pardinus
ENSG00000139292_LGR5	Canis_familiaris
ENSG00000139292_LGR5	Otocyon_megalotis
ENSG00000139354_GAS2L3	Otocyon_megalotis
ENSG00000139410_SDSL	Panthera_leo
ENSG00000139410_SDSL	Paradoxurus_hermaphroditus
ENSG00000139410_SDSL	Mellivora_capensis
ENSG00000139410_SDSL	Arctocephalus_gazella
ENSG00000139410_SDSL	Leptonychotes_weddellii
ENSG00000139874_SSTR1	Procyon_lotor
ENSG00000139926_FRMD6	Ursus_americanus
ENSG00000140265_ZSCAN29	Arctocephalus_gazella
ENSG00000140284_SLC27A2	Manis_javanica
ENSG00000140368_PSTPIP1	Vulpes_vulpes
ENSG00000140403_DNAJA4	Cryptoprocta_ferox
ENSG00000140403_DNAJA4	Nasua_narica
ENSG00000140835_CHST4	Taxidea_taxus
ENSG00000141316_SPACA3	Arctocephalus_gazella
ENSG00000141431_ASXL3	Manis_javanica
ENSG00000141441_GAREM1	Manis_javanica
ENSG00000141579_ZNF750	Lycaon_pictus
ENSG00000141579_ZNF750	Vulpes_vulpes
ENSG00000141858_SAMD1	Neovison_vison
ENSG00000141858_SAMD1	Lycaon_pictus
ENSG00000141858_SAMD1	Odobenus_rosmarus
ENSG00000142065_ZFP14	Mungos_mungo
ENSG00000142408_CACNG8	Lynx_pardinus
ENSG00000142669_SH3BGRL3	Lynx_pardinus
ENSG00000142669_SH3BGRL3	Neofelis_nebulosa
ENSG00000142669_SH3BGRL3	Potos_flavus
ENSG00000142669_SH3BGRL3	Mirounga_angustirostris
ENSG00000142698_C1orf94	Vulpes_vulpes
ENSG00000142973_CYP4B1	Gulo_gulo
ENSG00000142973_CYP4B1	Pteronura_brasiliensis
ENSG00000142973_CYP4B1	Lycaon_pictus
ENSG00000143179_UCK2	Manis_javanica
ENSG00000143320_CRABP2	Taxidea_taxus
ENSG00000143889_HNRNPLL	Hyaena_hyaena
ENSG00000143889_HNRNPLL	Suricata_suricatta
ENSG00000143889_HNRNPLL	Panthera_leo
ENSG00000143921_ABCG8	Mungos_mungo
ENSG00000143921_ABCG8	Phoca_vitulina
ENSG00000144048_DUSP11	Gulo_gulo
ENSG00000144331_ZNF385B	Ailurus_fulgens
ENSG00000144401_METTL21A	Panthera_onca
ENSG00000144401_METTL21A	Lutra_lutra
ENSG00000144579_CTDSP1	Ursus_maritimus
ENSG00000144579_CTDSP1	Lycaon_pictus
ENSG00000144791_LIMD1	Panthera_leo
ENSG00000144791_LIMD1	Puma_concolor
ENSG00000144791_LIMD1	Vulpes_vulpes
ENSG00000144791_LIMD1	Phoca_vitulina
ENSG00000145242_EPHA5	Taxidea_taxus
ENSG00000145287_PLAC8	Mellivora_capensis
ENSG00000145287_PLAC8	Bassariscus_sumichrasti
ENSG00000145780_FEM1C	Gulo_gulo
ENSG00000146054_TRIM7	Ailuropoda_melanoleuca
ENSG00000146215_CRIP3	Manis_javanica
ENSG00000146243_IRAK1BP1	Manis_javanica
